,AOR,LB,UB
C(fullvaxmonth)[T.8],0.88,0.14,0.1
C(fullvaxmonth)[T.9],0.86,0.16,0.12
diabetes[T.1.0],1.03,0.02,-0.09
hypertension[T.1.0],1.11,-0.06,-0.15
heart[T.1.0],0.98,0.1,-0.07
asthma[T.1.0],1.02,0.02,-0.05
cancer[T.1.0],0.96,0.16,-0.1
lung[T.1.0],0.99,0.22,-0.24
kidney[T.1.0],0.99,0.12,-0.11
liver[T.1.0],1.0,0.15,-0.17
stroke[T.1.0],0.99,0.23,-0.28
immunocompromised[T.1.0],0.98,0.1,-0.07
obese[T.1.0],1.08,-0.02,-0.14
others[T.1.0],0.98,0.05,-0.01
age,1.0,-0.0,-0.0
male,0.9,0.11,0.09
trace_count,1.06,-0.06,-0.07
test_count,0.88,0.12,0.12
