,mVE,LB,UB
aa,-8.85,-18.14,-0.28
aaa,13.05,6.27,19.35
aap,35.36,31.27,39.21
ppp,40.51,37.82,43.08
ss,-35.99,-43.09,-29.25
ssa,1.08,-24.68,21.52
ssp,28.48,25.52,31.32
sss,15.27,9.88,20.34
