,AOR,LB,UB
C(fullvaxmonth)[T.8],0.98,0.05,-0.02
C(fullvaxmonth)[T.9],1.01,0.04,-0.06
diabetes[T.1.0],1.05,-0.01,-0.09
hypertension[T.1.0],1.19,-0.15,-0.23
heart[T.1.0],0.92,0.12,0.03
asthma[T.1.0],0.97,0.09,-0.03
cancer[T.1.0],0.83,0.24,0.09
lung[T.1.0],0.94,0.18,-0.08
kidney[T.1.0],0.93,0.13,0.0
liver[T.1.0],0.96,0.17,-0.11
stroke[T.1.0],0.96,0.12,-0.05
immunocompromised[T.1.0],0.98,0.13,-0.1
obese[T.1.0],1.0,0.08,-0.08
others[T.1.0],1.0,0.05,-0.04
age,0.99,0.01,0.0
male,0.87,0.15,0.11
trace_count,0.96,0.07,0.0
test_count,0.85,0.17,0.14
