,mVE,LB,UB
aa,-13.83,-17.15,-10.6
aaa,50.97,49.6,52.3
aap,63.2,61.68,64.65
ppp,54.76,53.78,55.73
ss,-1.54,-3.15,0.05
ssa,52.81,50.61,54.91
ssp,60.6,59.98,61.21
sss,54.75,53.45,56.02
